/Users/jel/anaconda/bin/python /Users/jel/Documents/Personal/PycharmProjects/Project2/project_2_lenet.py
Loading training_file="./train.p"
Loading testing_file="./test.p"
num_train=37248, num_valid=1961, num_test=12630, num_classes=43
BATCH_SIZE=64, EPOCHS=1000, steps_per_epoch=582, image_shape=1024
Epoch 235: Validation loss=0.2456, Validation accuracy=0.9812
Epoch 236: Validation loss=0.2451, Validation accuracy=0.9812
Epoch 237: Validation loss=0.2457, Validation accuracy=0.9818
Epoch 238: Validation loss=0.2465, Validation accuracy=0.9818
Epoch 239: Validation loss=0.2473, Validation accuracy=0.9812
Epoch 240: Validation loss=0.2481, Validation accuracy=0.9818
Epoch 241: Validation loss=0.2492, Validation accuracy=0.9818
Epoch 242: Validation loss=0.2502, Validation accuracy=0.9818
Epoch 243: Validation loss=0.2515, Validation accuracy=0.9818
Epoch 244: Validation loss=0.2529, Validation accuracy=0.9812
Epoch 245: Validation loss=0.2546, Validation accuracy=0.9812
Epoch 246: Validation loss=0.2580, Validation accuracy=0.9807
Epoch 247: Validation loss=0.2613, Validation accuracy=0.9812
Epoch 248: Validation loss=0.2587, Validation accuracy=0.9781
Epoch 249: Validation loss=0.2537, Validation accuracy=0.9807
Epoch 250: Validation loss=0.2454, Validation accuracy=0.9786
Epoch 251: Validation loss=0.2327, Validation accuracy=0.9812
Epoch 252: Validation loss=0.2356, Validation accuracy=0.9807
Epoch 253: Validation loss=0.2378, Validation accuracy=0.9812
Epoch 254: Validation loss=0.2398, Validation accuracy=0.9807
Epoch 255: Validation loss=0.2418, Validation accuracy=0.9807
Epoch 256: Validation loss=0.2436, Validation accuracy=0.9802
Epoch 257: Validation loss=0.2455, Validation accuracy=0.9802
Epoch 258: Validation loss=0.2470, Validation accuracy=0.9802
Epoch 259: Validation loss=0.2483, Validation accuracy=0.9802
Epoch 260: Validation loss=0.2502, Validation accuracy=0.9802
Epoch 261: Validation loss=0.2515, Validation accuracy=0.9802
Epoch 262: Validation loss=0.2539, Validation accuracy=0.9802
Epoch 263: Validation loss=0.2554, Validation accuracy=0.9807
Epoch 264: Validation loss=0.3002, Validation accuracy=0.9734
Epoch 265: Validation loss=0.2403, Validation accuracy=0.9807
Epoch 266: Validation loss=0.2476, Validation accuracy=0.9807
Epoch 267: Validation loss=0.2444, Validation accuracy=0.9823
Epoch 268: Validation loss=0.2428, Validation accuracy=0.9823
Epoch 269: Validation loss=0.2425, Validation accuracy=0.9823
Epoch 270: Validation loss=0.2426, Validation accuracy=0.9823
Epoch 271: Validation loss=0.2431, Validation accuracy=0.9818
Epoch 272: Validation loss=0.2436, Validation accuracy=0.9807
Epoch 273: Validation loss=0.2437, Validation accuracy=0.9807
Epoch 274: Validation loss=0.2440, Validation accuracy=0.9807
Epoch 275: Validation loss=0.2441, Validation accuracy=0.9807
Epoch 276: Validation loss=0.2441, Validation accuracy=0.9807
Epoch 277: Validation loss=0.2447, Validation accuracy=0.9812
Epoch 278: Validation loss=0.2464, Validation accuracy=0.9812
Epoch 279: Validation loss=0.2483, Validation accuracy=0.9818
Epoch 280: Validation loss=0.2488, Validation accuracy=0.9812
Epoch 281: Validation loss=0.3025, Validation accuracy=0.9766
Epoch 282: Validation loss=0.2481, Validation accuracy=0.9823
Epoch 283: Validation loss=0.2723, Validation accuracy=0.9786
Epoch 284: Validation loss=0.2692, Validation accuracy=0.9766
Epoch 285: Validation loss=0.2448, Validation accuracy=0.9792
Epoch 286: Validation loss=0.2496, Validation accuracy=0.9797
Epoch 287: Validation loss=0.2352, Validation accuracy=0.9812
Epoch 288: Validation loss=0.2372, Validation accuracy=0.9818
Epoch 289: Validation loss=0.2396, Validation accuracy=0.9807
Epoch 290: Validation loss=0.2412, Validation accuracy=0.9802
Epoch 291: Validation loss=0.2423, Validation accuracy=0.9802
Epoch 292: Validation loss=0.2435, Validation accuracy=0.9802
Epoch 293: Validation loss=0.2447, Validation accuracy=0.9812
Epoch 294: Validation loss=0.2460, Validation accuracy=0.9812
Epoch 295: Validation loss=0.2468, Validation accuracy=0.9812
Epoch 296: Validation loss=0.2475, Validation accuracy=0.9812
Epoch 297: Validation loss=0.2476, Validation accuracy=0.9812
Epoch 298: Validation loss=0.2483, Validation accuracy=0.9812
Epoch 299: Validation loss=0.2508, Validation accuracy=0.9807
Epoch 300: Validation loss=0.2536, Validation accuracy=0.9812
Epoch 301: Validation loss=0.3955, Validation accuracy=0.9677
Epoch 302: Validation loss=0.2550, Validation accuracy=0.9786
Epoch 303: Validation loss=0.2421, Validation accuracy=0.9807
Epoch 304: Validation loss=0.2416, Validation accuracy=0.9818
Epoch 305: Validation loss=0.2367, Validation accuracy=0.9823
Epoch 306: Validation loss=0.2426, Validation accuracy=0.9807
Epoch 307: Validation loss=0.2365, Validation accuracy=0.9823
Epoch 308: Validation loss=0.2363, Validation accuracy=0.9828
Epoch 309: Validation loss=0.2364, Validation accuracy=0.9828
Epoch 310: Validation loss=0.2368, Validation accuracy=0.9828
Epoch 311: Validation loss=0.2376, Validation accuracy=0.9823
Epoch 312: Validation loss=0.2383, Validation accuracy=0.9823
Epoch 313: Validation loss=0.2395, Validation accuracy=0.9818
Epoch 314: Validation loss=0.2408, Validation accuracy=0.9823
Epoch 315: Validation loss=0.2421, Validation accuracy=0.9823
Epoch 316: Validation loss=0.2434, Validation accuracy=0.9823
Epoch 317: Validation loss=0.2450, Validation accuracy=0.9823
Epoch 318: Validation loss=0.2463, Validation accuracy=0.9823
Epoch 319: Validation loss=0.2510, Validation accuracy=0.9828
Epoch 320: Validation loss=0.2525, Validation accuracy=0.9823
Epoch 321: Validation loss=0.2600, Validation accuracy=0.9823
Epoch 322: Validation loss=0.2589, Validation accuracy=0.9823
Epoch 323: Validation loss=0.2704, Validation accuracy=0.9823
Epoch 324: Validation loss=0.2444, Validation accuracy=0.9807
Epoch 325: Validation loss=0.2615, Validation accuracy=0.9812
Epoch 326: Validation loss=0.2994, Validation accuracy=0.9786
Epoch 327: Validation loss=0.2641, Validation accuracy=0.9750
Epoch 328: Validation loss=0.2466, Validation accuracy=0.9812
Epoch 329: Validation loss=0.2709, Validation accuracy=0.9823
Epoch 330: Validation loss=0.2665, Validation accuracy=0.9823
Epoch 331: Validation loss=0.2665, Validation accuracy=0.9818
Epoch 332: Validation loss=0.2660, Validation accuracy=0.9818
Epoch 333: Validation loss=0.2652, Validation accuracy=0.9818
Epoch 334: Validation loss=0.2645, Validation accuracy=0.9818
Epoch 335: Validation loss=0.2641, Validation accuracy=0.9818
Epoch 336: Validation loss=0.2635, Validation accuracy=0.9818
Epoch 337: Validation loss=0.2634, Validation accuracy=0.9818
Epoch 338: Validation loss=0.2633, Validation accuracy=0.9818
Epoch 339: Validation loss=0.2636, Validation accuracy=0.9818
Epoch 340: Validation loss=0.2638, Validation accuracy=0.9818
Epoch 341: Validation loss=0.2646, Validation accuracy=0.9823
Epoch 342: Validation loss=0.2312, Validation accuracy=0.9776
Epoch 343: Validation loss=0.2187, Validation accuracy=0.9812
Epoch 344: Validation loss=0.2177, Validation accuracy=0.9833
Epoch 345: Validation loss=0.2934, Validation accuracy=0.9729
Epoch 346: Validation loss=0.2702, Validation accuracy=0.9776
Epoch 347: Validation loss=0.2280, Validation accuracy=0.9818
Epoch 348: Validation loss=0.2266, Validation accuracy=0.9812
Epoch 349: Validation loss=0.2257, Validation accuracy=0.9812
Epoch 350: Validation loss=0.2261, Validation accuracy=0.9818
Epoch 351: Validation loss=0.2266, Validation accuracy=0.9818
Epoch 352: Validation loss=0.2272, Validation accuracy=0.9818
Epoch 353: Validation loss=0.2277, Validation accuracy=0.9812
Epoch 354: Validation loss=0.2286, Validation accuracy=0.9818
Epoch 355: Validation loss=0.2297, Validation accuracy=0.9828
Epoch 356: Validation loss=0.2307, Validation accuracy=0.9828
Epoch 357: Validation loss=0.2321, Validation accuracy=0.9828
Epoch 358: Validation loss=0.2336, Validation accuracy=0.9833
Epoch 359: Validation loss=0.2346, Validation accuracy=0.9828
Epoch 360: Validation loss=0.2367, Validation accuracy=0.9828
Epoch 361: Validation loss=0.2393, Validation accuracy=0.9818
Epoch 362: Validation loss=0.2402, Validation accuracy=0.9823
Epoch 363: Validation loss=0.2718, Validation accuracy=0.9766
Epoch 364: Validation loss=0.2302, Validation accuracy=0.9797
Epoch 365: Validation loss=0.2436, Validation accuracy=0.9812
Epoch 366: Validation loss=0.2454, Validation accuracy=0.9807
Epoch 367: Validation loss=0.2457, Validation accuracy=0.9797
Epoch 368: Validation loss=0.2462, Validation accuracy=0.9797
Epoch 369: Validation loss=0.2463, Validation accuracy=0.9792
Epoch 370: Validation loss=0.2465, Validation accuracy=0.9797
Epoch 371: Validation loss=0.2466, Validation accuracy=0.9797
Epoch 372: Validation loss=0.2470, Validation accuracy=0.9792
Epoch 373: Validation loss=0.2474, Validation accuracy=0.9797
Epoch 374: Validation loss=0.2474, Validation accuracy=0.9797
Epoch 375: Validation loss=0.2475, Validation accuracy=0.9797
Epoch 376: Validation loss=0.2469, Validation accuracy=0.9802
Epoch 377: Validation loss=0.2474, Validation accuracy=0.9802
Epoch 378: Validation loss=0.2476, Validation accuracy=0.9802
Epoch 379: Validation loss=0.2484, Validation accuracy=0.9807
Epoch 380: Validation loss=0.2486, Validation accuracy=0.9812
Epoch 381: Validation loss=0.2504, Validation accuracy=0.9818
Epoch 382: Validation loss=0.2532, Validation accuracy=0.9812
Epoch 383: Validation loss=0.2860, Validation accuracy=0.9760
Epoch 384: Validation loss=0.2285, Validation accuracy=0.9812
Epoch 385: Validation loss=0.2533, Validation accuracy=0.9792
Epoch 386: Validation loss=0.2260, Validation accuracy=0.9807
Epoch 387: Validation loss=0.2279, Validation accuracy=0.9823
Epoch 388: Validation loss=0.2290, Validation accuracy=0.9818
Epoch 389: Validation loss=0.2299, Validation accuracy=0.9812
Epoch 390: Validation loss=0.2307, Validation accuracy=0.9812
Epoch 391: Validation loss=0.2314, Validation accuracy=0.9812
Epoch 392: Validation loss=0.2322, Validation accuracy=0.9818
Epoch 393: Validation loss=0.2328, Validation accuracy=0.9823
Epoch 394: Validation loss=0.2331, Validation accuracy=0.9823
Epoch 395: Validation loss=0.2336, Validation accuracy=0.9823
Epoch 396: Validation loss=0.2342, Validation accuracy=0.9823
Epoch 397: Validation loss=0.2355, Validation accuracy=0.9823
Epoch 398: Validation loss=0.2366, Validation accuracy=0.9823
Epoch 399: Validation loss=0.2377, Validation accuracy=0.9828
Epoch 400: Validation loss=0.2386, Validation accuracy=0.9833
Epoch 401: Validation loss=0.2410, Validation accuracy=0.9833
Epoch 402: Validation loss=0.2431, Validation accuracy=0.9839
Epoch 403: Validation loss=0.3516, Validation accuracy=0.9734
Epoch 404: Validation loss=0.2920, Validation accuracy=0.9781
Epoch 405: Validation loss=0.2642, Validation accuracy=0.9802
Epoch 406: Validation loss=0.2649, Validation accuracy=0.9807
Epoch 407: Validation loss=0.2647, Validation accuracy=0.9786
Epoch 408: Validation loss=0.2412, Validation accuracy=0.9818
Epoch 409: Validation loss=0.2397, Validation accuracy=0.9812
Epoch 410: Validation loss=0.2396, Validation accuracy=0.9818
Epoch 411: Validation loss=0.2397, Validation accuracy=0.9818
Epoch 412: Validation loss=0.2400, Validation accuracy=0.9812
Epoch 413: Validation loss=0.2403, Validation accuracy=0.9812
Epoch 414: Validation loss=0.2406, Validation accuracy=0.9812
Epoch 415: Validation loss=0.2409, Validation accuracy=0.9823
Epoch 416: Validation loss=0.2411, Validation accuracy=0.9823
Epoch 417: Validation loss=0.2417, Validation accuracy=0.9823
Epoch 418: Validation loss=0.2428, Validation accuracy=0.9823
Epoch 419: Validation loss=0.2441, Validation accuracy=0.9828
Epoch 420: Validation loss=0.2456, Validation accuracy=0.9823
Epoch 421: Validation loss=0.2468, Validation accuracy=0.9828
Epoch 422: Validation loss=0.2479, Validation accuracy=0.9833
Epoch 423: Validation loss=0.2496, Validation accuracy=0.9833
Epoch 424: Validation loss=0.2526, Validation accuracy=0.9839
Epoch 425: Validation loss=0.2553, Validation accuracy=0.9839
Epoch 426: Validation loss=0.5164, Validation accuracy=0.9646
Epoch 427: Validation loss=0.2625, Validation accuracy=0.9771
